paper_name,model,phase,wall_start,wall_end,wall_duration_s,initial_calls,retry_calls,total_calls,total_input_tokens,total_output_tokens,total_tokens,conditions_extracted,pytorch_peak_gb,nvidia_smi_pre_mb,nvidia_smi_post_mb,gpu_delta_mb,num_chunks,total_input_tokens_doc,success,error,conditions_per_minute,tokens_per_second
Im2008,qwen3.5-27b,extraction,2026-06-30T23:11:28.712808Z,2026-06-30T23:18:49.946877Z,441.234069,1,0,1,14563,2339,16902,4,0.0,43018.0,44766.0,1748.0,1,11859,True,,0.54,38.31
Ziebarth_2016,qwen3.5-27b,extraction,2026-06-30T23:19:59.304992Z,2026-06-30T23:27:05.323729Z,426.018737,1,0,1,15421,2283,17704,3,0.0,43018.0,44766.0,1748.0,1,12678,True,,0.42,41.56
[217] Gao2016,qwen3.5-27b,extraction,2026-06-30T23:28:17.371000Z,2026-06-30T23:34:49.032220Z,391.66122,1,0,1,16563,1933,18496,3,0.0,43018.0,45310.0,2292.0,1,13583,True,,0.46,47.22
[232] Malik2009,qwen3.5-27b,extraction,2026-06-30T23:35:58.378149Z,2026-07-01T00:10:22.488372Z,2064.110223,0,1,1,10522,4096,14618,0,0.0,43018.0,45310.0,2292.0,1,8013,True,,0.0,7.08
[233] Malik2012,qwen3.5-27b,extraction,2026-07-01T00:11:34.269382Z,2026-07-01T00:15:57.091174Z,262.821792,1,0,1,15915,1190,17105,2,0.0,43018.0,44766.0,1748.0,1,13252,True,,0.46,65.08
[296] Malik2020,qwen3.5-27b,extraction,2026-07-01T00:17:09.148723Z,2026-07-01T00:53:19.607885Z,2170.459162,0,1,1,19868,4096,23964,0,0.0,43018.0,45310.0,2292.0,1,16945,True,,0.0,11.04
[38] Chang1999,qwen3.5-27b,extraction,2026-07-01T00:54:31.805277Z,2026-07-01T00:57:53.490130Z,201.684853,1,0,1,20910,666,21576,1,0.0,43018.0,45310.0,2292.0,1,18127,True,,0.3,106.98
[47] Pasch1993,qwen3.5-27b,extraction,2026-07-01T00:59:05.365634Z,2026-07-01T01:03:00.710056Z,235.344422,1,0,1,8842,1189,10031,2,0.0,43018.0,44766.0,1748.0,1,6481,True,,0.51,42.62
[48] Pasch1993,qwen3.5-27b,extraction,2026-07-01T01:04:12.597587Z,2026-07-01T01:04:49.967664Z,37.370077,1,0,1,2735,12,2747,0,0.0,43018.0,43204.0,186.0,1,783,True,,0.0,73.51
[6] Macko2002,qwen3.5-27b,extraction,2026-07-01T01:06:01.520586Z,2026-07-01T01:14:13.812079Z,492.291493,1,0,1,12532,2605,15137,5,0.0,43018.0,44766.0,1748.0,1,10188,True,,0.61,30.75
