paper_name,model,phase,wall_start,wall_end,wall_duration_s,initial_calls,retry_calls,total_calls,total_input_tokens,total_output_tokens,total_tokens,conditions_extracted,pytorch_peak_gb,nvidia_smi_pre_mb,nvidia_smi_post_mb,gpu_delta_mb,num_chunks,total_input_tokens_doc,success,error,conditions_per_minute,tokens_per_second
[107] Krüger1996,qwen3.5-27b,extraction,2026-06-30T22:57:15.541791Z,2026-06-30T23:01:36.865828Z,261.324037,1,0,1,10267,1215,11482,2,0.0,43018.0,44766.0,1748.0,1,7707,True,,0.46,43.94
[111] Gorshkov1990,qwen3.5-27b,extraction,2026-06-30T23:02:45.902439Z,2026-06-30T23:08:02.964424Z,317.061985,1,0,1,9017,1552,10569,3,0.0,43018.0,44766.0,1748.0,1,6867,True,,0.57,33.33
[112] Pasch1995,qwen3.5-27b,extraction,2026-06-30T23:09:13.083809Z,2026-06-30T23:13:03.258201Z,230.174392,1,0,1,9756,1085,10841,2,0.0,43018.0,44766.0,1748.0,1,7346,True,,0.52,47.1
[113] Pasch,qwen3.5-27b,extraction,2026-06-30T23:14:12.324958Z,2026-06-30T23:24:28.894873Z,616.569915,1,0,1,10913,3286,14199,6,0.0,43018.0,44766.0,1748.0,1,8443,True,,0.58,23.03
[115] Falkenhagen2000,qwen3.5-27b,extraction,2026-06-30T23:25:37.946339Z,2026-06-30T23:28:10.735796Z,152.789457,1,0,1,8787,613,9400,1,0.0,43018.0,44766.0,1748.0,1,6517,True,,0.39,61.52
[117] Murgasova1998,qwen3.5-27b,extraction,2026-06-30T23:29:19.842852Z,2026-06-30T23:31:41.882663Z,142.039811,1,0,1,7903,709,8612,1,0.0,43018.0,44712.0,1694.0,1,5672,True,,0.42,60.63
[118] Trathnigg1994,qwen3.5-27b,extraction,2026-06-30T23:32:51.010862Z,2026-06-30T23:35:07.150937Z,136.140075,1,0,1,7859,530,8389,1,0.0,43018.0,44702.0,1684.0,1,5614,True,,0.44,61.62
[120] Trathnigg2001,qwen3.5-27b,extraction,2026-06-30T23:36:16.659575Z,2026-06-30T23:41:59.009309Z,342.349734,1,0,1,11673,1809,13482,3,0.0,43018.0,44766.0,1748.0,1,9107,True,,0.53,39.38
[121] Lochmuller1996,qwen3.5-27b,extraction,2026-06-30T23:43:07.965833Z,2026-06-30T23:45:38.255762Z,150.289929,1,0,1,23457,12,23469,0,0.0,43018.0,44766.0,1748.0,1,19944,True,,0.0,156.16
[122] Kazanskii2000,qwen3.5-27b,extraction,2026-06-30T23:46:47.388120Z,2026-06-30T23:53:46.514890Z,419.12677,2,0,2,40794,2596,43390,5,0.0,43018.0,45310.0,2292.0,2,35758,True,,0.72,103.52
[123] Lee1999,qwen3.5-27b,extraction,2026-06-30T23:54:55.638826Z,2026-06-30T23:57:04.091744Z,128.452918,1,0,1,8494,639,9133,1,0.0,43018.0,44766.0,1748.0,1,6203,True,,0.47,71.1
[124] Lee2001,qwen3.5-27b,extraction,2026-06-30T23:58:12.919055Z,2026-07-01T00:04:35.928592Z,383.009537,1,0,1,12520,1983,14503,3,0.0,43018.0,44766.0,1748.0,1,10006,True,,0.47,37.87
[125] Gorbunov1997,qwen3.5-27b,extraction,2026-07-01T00:05:44.848005Z,2026-07-01T00:06:35.178637Z,50.330632,1,0,1,10119,12,10131,0,0.0,43018.0,44766.0,1748.0,1,7866,True,,0.0,201.29
[126] Trathnigg1993,qwen3.5-27b,extraction,2026-07-01T00:07:43.865591Z,2026-07-01T00:11:31.258197Z,227.392606,1,0,1,8902,1065,9967,2,0.0,43018.0,44766.0,1748.0,1,6518,True,,0.53,43.83
[201] Ahmed2009,qwen3.5-27b,extraction,2026-07-01T00:12:40.340744Z,2026-07-01T00:21:45.873569Z,545.532825,1,0,1,14347,3092,17439,5,0.0,43018.0,44766.0,1748.0,1,11600,True,,0.55,31.97
[212] Cleaver2015,qwen3.5-27b,extraction,2026-07-01T00:22:54.810987Z,2026-07-01T00:27:56.426433Z,301.615446,1,0,1,4812,1767,6579,3,0.0,43018.0,44002.0,984.0,1,2815,True,,0.6,21.81
[220] Grabowsky2011,qwen3.5-27b,extraction,2026-07-01T00:29:05.456349Z,2026-07-01T00:36:24.635755Z,439.179406,2,0,2,52510,2752,55262,5,0.0,43018.0,45310.0,2292.0,2,45760,True,,0.68,125.83
[232] Malik2009,qwen3.5-27b,extraction,2026-07-01T00:37:33.751399Z,2026-07-01T01:11:59.939777Z,2066.188378,0,1,1,10522,4096,14618,0,0.0,43018.0,45310.0,2292.0,1,8013,True,,0.0,7.07
