paper_name,model,phase,wall_start,wall_end,wall_duration_s,initial_calls,retry_calls,total_calls,total_input_tokens,total_output_tokens,total_tokens,conditions_extracted,pytorch_peak_gb,nvidia_smi_pre_mb,nvidia_smi_post_mb,gpu_delta_mb,num_chunks,total_input_tokens_doc,success,error,conditions_per_minute,tokens_per_second
[125] Gorbunov1997,mistral-small-24b,extraction,2026-07-01T22:09:26.130171Z,2026-07-01T22:10:13.221770Z,47.091599,1,0,1,9929,9,9938,0,0.0,42634.0,43658.0,1024.0,1,7866,True,,0.0,211.04
[127] Esser2001,mistral-small-24b,extraction,2026-07-01T22:10:52.749001Z,2026-07-01T22:11:32.777556Z,40.028555,1,0,1,7699,410,8109,1,0.0,42634.0,43600.0,966.0,1,5493,True,,1.5,202.58
[128] Gorshkov1986,mistral-small-24b,extraction,2026-07-01T22:12:11.566445Z,2026-07-01T22:12:41.080183Z,29.513738,1,0,1,3894,384,4278,1,0.0,42634.0,42878.0,244.0,1,2050,True,,2.03,144.95
[209] Bhati2016,mistral-small-24b,extraction,2026-07-01T22:13:21.066906Z,2026-07-01T22:15:48.957025Z,147.890119,1,0,1,11081,2576,13657,6,0.0,42634.0,43658.0,1024.0,1,8903,True,,2.43,92.35
[232] Malik2009,mistral-small-24b,extraction,2026-07-01T22:16:27.344191Z,2026-07-01T22:22:18.660331Z,351.31614,0,1,1,10357,4096,14453,0,0.0,42634.0,43658.0,1024.0,1,8013,True,,0.0,41.14
[251] Trathnigg2005,mistral-small-24b,extraction,2026-07-01T22:23:02.252671Z,2026-07-01T22:24:45.802876Z,103.550205,1,0,1,12721,3010,15731,6,0.0,42634.0,43658.0,1024.0,1,9773,True,,3.48,151.92
[252] Trathnigg2007,mistral-small-24b,extraction,2026-07-01T22:25:23.154244Z,2026-07-01T22:25:56.406190Z,33.251946,1,0,1,7597,385,7982,1,0.0,42634.0,43586.0,952.0,1,5452,True,,1.8,240.05
[256] Zdovc2022,mistral-small-24b,extraction,2026-07-01T22:26:33.522236Z,2026-07-01T22:27:27.743586Z,54.22135,1,0,1,17206,533,17739,1,0.0,42634.0,43658.0,1024.0,1,14590,True,,1.11,327.16
[294] Malik2008,mistral-small-24b,extraction,2026-07-01T22:28:04.104984Z,2026-07-01T22:28:41.223301Z,37.118317,1,0,1,12195,730,12925,1,0.0,42634.0,43658.0,1024.0,1,9565,True,,1.62,348.21
[295] Malik2009,mistral-small-24b,extraction,2026-07-01T22:29:17.518492Z,2026-07-01T22:30:10.797163Z,53.278671,1,0,1,12001,816,12817,2,0.0,42634.0,43658.0,1024.0,1,9580,True,,2.25,240.57
[321] Malik2009,mistral-small-24b,extraction,2026-07-01T22:30:48.654769Z,2026-07-01T22:32:04.518772Z,75.864003,1,0,1,10549,1777,12326,4,0.0,42634.0,43658.0,1024.0,1,8467,True,,3.16,162.47
[323] Malik2016,mistral-small-24b,extraction,2026-07-01T22:32:41.134594Z,2026-07-01T22:36:53.161089Z,252.026495,0,1,1,15334,1081,16415,2,0.0,42634.0,43658.0,1024.0,1,12890,True,,0.48,65.13
[332] Malik2016,mistral-small-24b,extraction,2026-07-01T22:37:30.645255Z,2026-07-01T22:38:37.769374Z,67.124119,1,0,1,10521,1333,11854,3,0.0,42634.0,43658.0,1024.0,1,8256,True,,2.68,176.6
[350] Weidner2012,mistral-small-24b,extraction,2026-07-01T22:39:14.327755Z,2026-07-01T22:39:44.617462Z,30.289707,1,0,1,11414,403,11817,1,0.0,42634.0,43658.0,1024.0,1,9150,True,,1.98,390.13
[363] Falkenhagen2009,mistral-small-24b,extraction,2026-07-01T22:40:20.912735Z,2026-07-01T22:41:21.138769Z,60.226034,1,0,1,8943,1197,10140,2,0.0,42634.0,43658.0,1024.0,1,6731,True,,1.99,168.37
[369] Weidner2007,mistral-small-24b,extraction,2026-07-01T22:41:57.622872Z,2026-07-01T22:43:11.986142Z,74.36327,1,0,1,11096,964,12060,2,0.0,42634.0,43658.0,1024.0,1,8584,True,,1.61,162.18
[375] Malik2007,mistral-small-24b,extraction,2026-07-01T22:43:48.098151Z,2026-07-01T22:45:36.709216Z,108.611065,1,0,1,16450,1485,17935,4,0.0,42634.0,43658.0,1024.0,1,13718,True,,2.21,165.13
[376] Malik2009,mistral-small-24b,extraction,2026-07-01T22:46:15.432031Z,2026-07-01T22:48:27.312270Z,131.880239,1,0,1,11859,3810,15669,9,0.0,42634.0,43658.0,1024.0,1,9181,True,,4.09,118.81
[3] Belenkii1976,mistral-small-24b,extraction,2026-07-01T22:49:07.901747Z,2026-07-01T22:50:04.308359Z,56.406612,1,0,1,9484,9,9493,0,0.0,42634.0,43658.0,1024.0,1,7273,True,,0.0,168.3
[90] Dudorina1995,mistral-small-24b,extraction,2026-07-01T22:50:42.964871Z,2026-07-01T22:51:35.674890Z,52.710019,1,0,1,10363,824,11187,2,0.0,42634.0,43658.0,1024.0,1,8081,True,,2.28,212.24
