paper_name,model,phase,wall_start,wall_end,wall_duration_s,initial_calls,retry_calls,total_calls,total_input_tokens,total_output_tokens,total_tokens,conditions_extracted,pytorch_peak_gb,nvidia_smi_pre_mb,nvidia_smi_post_mb,gpu_delta_mb,num_chunks,total_input_tokens_doc,success,error,conditions_per_minute,tokens_per_second
Im2008,mistral-small-24b,extraction,2026-07-01T20:07:12.512731Z,2026-07-01T20:08:31.075780Z,78.563049,1,0,1,14545,1083,15628,2,0.0,42634.0,43658.0,1024.0,1,11859,True,,1.53,198.92
Ziebarth_2016,mistral-small-24b,extraction,2026-07-01T20:09:08.798315Z,2026-07-01T20:10:39.882449Z,91.084134,1,0,1,15400,1785,17185,4,0.0,42634.0,43658.0,1024.0,1,12678,True,,2.63,188.67
[217] Gao2016,mistral-small-24b,extraction,2026-07-01T20:11:24.130092Z,2026-07-01T20:12:43.891029Z,79.760937,1,0,1,16368,561,16929,1,0.0,42634.0,43658.0,1024.0,1,13583,True,,0.75,212.25
[232] Malik2009,mistral-small-24b,extraction,2026-07-01T20:13:24.375878Z,2026-07-01T20:19:17.150207Z,352.774329,0,1,1,10357,4096,14453,0,0.0,42634.0,43658.0,1024.0,1,8013,True,,0.0,40.97
[233] Malik2012,mistral-small-24b,extraction,2026-07-01T20:19:57.408657Z,2026-07-01T20:21:45.490919Z,108.082262,1,0,1,15481,1646,17127,4,0.0,42634.0,43658.0,1024.0,1,13252,True,,2.22,158.46
[296] Malik2020,mistral-small-24b,extraction,2026-07-01T20:22:25.608906Z,2026-07-01T20:29:53.496443Z,447.887537,0,1,1,19348,4096,23444,0,0.0,42634.0,43658.0,1024.0,1,16945,True,,0.0,52.34
[38] Chang1999,mistral-small-24b,extraction,2026-07-01T20:30:34.295994Z,2026-07-01T20:31:59.606505Z,85.310511,1,0,1,20766,9,20775,0,0.0,42634.0,43658.0,1024.0,1,18127,True,,0.0,243.52
[47] Pasch1993,mistral-small-24b,extraction,2026-07-01T20:32:45.830147Z,2026-07-01T20:33:56.929199Z,71.099052,1,0,1,8560,1240,9800,3,0.0,42634.0,43658.0,1024.0,1,6481,True,,2.53,137.84
[48] Pasch1993,mistral-small-24b,extraction,2026-07-01T20:34:37.344455Z,2026-07-01T20:35:23.917569Z,46.573114,1,0,1,2711,341,3052,1,0.0,42634.0,42804.0,170.0,1,783,True,,1.29,65.53
[6] Macko2002,mistral-small-24b,extraction,2026-07-01T20:36:02.719996Z,2026-07-01T20:38:06.861959Z,124.141963,1,0,1,12210,2467,14677,4,0.0,42634.0,43658.0,1024.0,1,10188,True,,1.93,118.23
